Year,Location,Average Yearly Temperature (Celsius),TeamA,TeamB,Round,Full-time score TeamA,Full-time score TeamB,TeamA Elo Rating,TeamB Elo Rating,Form of TeamA,Form of TeamB
1930,Uruguay,17.55,France,Mexico,1,4,1,1000,1000,Neutral,Neutral
1930,Uruguay,17.55,Argentina ,France,1,1,0,,,Neutral,Neutral
1930,Uruguay,17.55,Chile,Mexico,1,3,0,,,Neutral,Neutral
1930,Uruguay,17.55,Chile,France,1,1,0,,,Neutral,Neutral
1930,Uruguay,17.55,Argentina ,Mexico,1,6,3,,,Neutral,Bad
1930,Uruguay,17.55,Argentina ,Chile ,1,3,1,,,Good,Neutral
1930,Uruguay,17.55,Yugoslavia,Brazil,1,2,1,,,Neutral,Neutral
1930,Uruguay,17.55,Yugoslavia,Bolivia,1,4,0,,,Neutral,Neutral
1930,Uruguay,17.55,Brazil,Bolivia,1,4,0,,,Neutral,Neutral
1930,Uruguay,17.55,Romania,Peru,1,3,1,,,Neutral,Neutral
1930,Uruguay,17.55,Uruguay,Peru,1,1,0,,,Neutral,Neutral
1930,Uruguay,17.55,Uruguay,Romania,1,4,0,,,Neutral,Neutral
1930,Uruguay,17.55,United States,Belgium,1,3,0,,,Neutral,Neutral
1930,Uruguay,17.55,United States,Paraguay,1,3,0,,,Neutral,Neutral
1930,Uruguay,17.55,Paraguay,Belgium,1,1,0,,,Neutral,Neutral
1930,Uruguay,17.55,Argentina ,United States,2,6,1,,,Good,Neutral
1930,Uruguay,17.55,Uruguay,Yugoslavia,2,6,1,,,Good,Neutral
1930,Uruguay,17.55,Uruguay,Argentina,3,4,2,,,Good,Good
1934,Italy,13.35,Sweden,Argentina,1,3,2,,,,
1934,Italy,13.35,Austria,France,1,3,2,,,,
1934,Italy,13.35,Germany,Belgium,1,5,2,,,,
1934,Italy,13.35,Spain,Brazil,1,3,1,,,,
1934,Italy,13.35,Hungary,Egypt,1,4,2,,,,
1934,Italy,13.35,Switzerland,Netherlands,1,3,2,,,,
1934,Italy,13.35,Italy,United States,1,7,1,,,,
1934,Italy,13.35,Czechoslovakia,Romania,1,2,1,,,,
1934,Italy,13.35,Czechoslovakia,Switzerland,2,3,2,,,,
1934,Italy,13.35,Germany,Sweden,2,2,1,,,,
1934,Italy,13.35,Italy,Spain,2,1,1,,,,
1934,Italy,13.35,Austria,Hungary,2,2,1,,,,
1934,Italy,13.35,Italy,Spain,2,1,0,,,,
1934,Italy,13.35,Italy,Austria,3,1,0,,,,
1934,Italy,13.35,Czechoslovakia,Germany,3,3,1,,,,
1934,Italy,13.35,Germany,Austria,3,3,2,,,,
1934,Italy,13.35,Italy,Czechoslovakia,4,2,1,,,,
1938,France,10.7,Switzerland,Germany,1,1,1,,,,
1938,France,10.7,Hungary,Dutch East Indies,1,6,0,,,,
1938,France,10.7,France,Belgium,1,3,1,,,,
1938,France,10.7,Cuba,Romania,1,3,3,,,,
1938,France,10.7,Italy,Norway,1,2,1,,,,
1938,France,10.7,Brazil,Poland,1,6,5,,,,
1938,France,10.7,Czechoslovakia,Netherlands,1,3,0,,,,
1938,France,10.7,Cuba,Romania,1,2,1,,,,
1938,France,10.7,Germany,Switzerland,1,2,4,,,,
1938,France,10.7,Brazil,Czechoslovakia,2,1,1,,,,
1938,France,10.7,Switzerland,Hungary,2,0,2,,,,
1938,France,10.7,Sweden,Cuba,2,8,0,,,,
1938,France,10.7,France,Italy,2,1,3,,,,
1938,France,10.7,Brazil,Czechoslovakia,2,2,1,,,,
1938,France,10.7,Hungary,Sweden,3,5,1,,,,
1938,France,10.7,Italy,Brazil,3,2,1,,,,
1938,France,10.7,Sweden,Brazil,4,2,4,,,,
1938,France,10.7,Hungary,Italy,5,2,4,,,,
1950,Brazil,24.95,Brazil,Mexico,1,4,0,,,,
1950,Brazil,24.95,Yugoslavia,Switzerland,1,3,0,,,,
1950,Brazil,24.95,Brazil,Switzerland,1,2,2,,,,
1950,Brazil,24.95,Yugoslavia,Mexico,1,4,1,,,,
1950,Brazil,24.95,Brazil,Yugoslavia,1,2,0,,,,
1950,Brazil,24.95,Switzerland,Mexico,1,2,1,,,,
1950,Brazil,24.95,England,Chile,1,2,0,,,,
1950,Brazil,24.95,Spain,United States,1,3,1,,,,
1950,Brazil,24.95,Spain,Chile,1,2,0,,,,
1950,Brazil,24.95,United States,England,1,1,0,,,,
1950,Brazil,24.95,Spain,England,1,1,0,,,,
1950,Brazil,24.95,Chile,United States,1,5,2,,,,
1950,Brazil,24.95,Sweden,Italy,1,3,2,,,,
1950,Brazil,24.95,Sweden,Paraguay,1,2,2,,,,
1950,Brazil,24.95,Italy,Paraguay,1,2,0,,,,
